player_name,last_first,chadwick_name,espn_name,savant_id,bbref_id,retro_id,fangraphs_id,espn_id,espn_headshot
Pat Dean,"Dean, Pat",Pat Dean,Pat Dean,534737,deanpa02,deanp001,11350,31664,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/31664.png
Slade Heathcott,"Heathcott, Slade",Slade Heathcott,Slade Heathcott,571761,heathsl01,heats001,10336,31667,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/31667.png
Marcell Ozuna,"Ozuna, Marcell",Marcell Ozuna,Marcell Ozuna,542303,ozunama01,ozunm001,10324,31668,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/31668.png
Mark Canha,"Canha, Mark",Mark Canha,Mark Canha,592192,canhama01,canhm001,11445,31670,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/31670.png
José Cisnero,"Cisnero, José",Jose Cisnero,Jose Cisnero,542585,cisnejo01,cisnj001,6399,31673,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/31673.png
Daniel Corcino,"Corcino, Daniel",Daniel Corcino,Daniel Corcino,542289,corcida01,corcd001,9266,31678,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/31678.png
Cheslor Cuthbert,"Cuthbert, Cheslor",Cheslor Cuthbert,Cheslor Cuthbert,596144,cuthbch01,cuthc001,10473,31682,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/31682.png
Corey Dickerson,"Dickerson, Corey",Corey Dickerson,Corey Dickerson,572816,dickeco01,dickc002,10762,31684,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/31684.png
Jeurys Familia,"Familia, Jeurys",Jeurys Familia,Jeurys Familia,544727,familje01,famij001,5114,31687,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/31687.png
Kevin Chapman,"Chapman, Kevin",Kevin Chapman,Kevin Chapman,502087,chapmke02,chapk002,11240,31691,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/31691.png
David Freitas,"Freitas, David",David Freitas,David Freitas,571679,freitda01,freid001,10619,31697,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/31697.png
Taylor Jordan,"Jordan, Taylor",Taylor Jordan,Taylor Jordan,518863,jordata01,jordt001,10466,31701,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/31701.png
Tommy Milone,"Milone, Tommy",Tommy Milone,Tommy Milone,543548,milonto01,milot001,7608,31706,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/31706.png
Justin Nicolino,"Nicolino, Justin",Justin Nicolino,Justin Nicolino,592593,nicolju01,nicoj001,11754,31708,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/31708.png
Cam Bedrosian,"Bedrosian, Cam",Cam Bedrosian,Cam Bedrosian,592135,bedroca01,bedrc001,13360,31716,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/31716.png
Chad Bettis,"Bettis, Chad",Chad Bettis,Chad Bettis,518452,bettich01,bettc001,10587,31718,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/31718.png
Austin Brice,"Brice, Austin",Austin Brice,Austin Brice,592169,briceau01,brica001,17237,31722,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/31722.png
Andrelton Simmons,"Simmons, Andrelton",Andrelton Simmons,Andrelton Simmons,592743,simmoan01,simma001,10847,31728,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/31728.png
Noah Syndergaard,"Syndergaard, Noah",Noah Syndergaard,Noah Syndergaard,592789,syndeno01,syndn001,11762,31730,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/31730.png
Daniel Webb,"Webb, Daniel",Daniel Webb,Daniel Webb,543900,webbda01,webbd001,10558,31733,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/31733.png
Asher Wojciechowski,"Wojciechowski, Asher",Asher Wojciechowski,Asher Wojciechowski,592879,wojcias01,wojca001,10836,31734,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/31734.png
Jorge Alfaro,"Alfaro, Jorge",Jorge Alfaro,Jorge Alfaro,595751,alfarjo01,alfaj002,12180,31737,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/31737.png
Aaron Altherr,"Altherr, Aaron",Aaron Altherr,Aaron Altherr,571437,altheaa01,altha001,11270,31738,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/31738.png
Erik Goeddel,"Goeddel, Erik",Erik Goeddel,Erik Goeddel,592340,goedder01,goede001,11712,31744,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/31744.png
Sam Dyson,"Dyson, Sam",Sam Dyson,Sam Dyson,473879,dysonsa01,dysos001,11710,31745,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/31745.png
Roman Mendez,"Mendez, Roman",Roman Mendez,Roman Mendez,542669,mendero01,mendr002,10307,31747,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/31747.png
Luke Jackson,"Jackson, Luke",Luke Jackson,Luke Jackson,592426,jackslu01,jackl001,11752,31749,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/31749.png
Justin Grimm,"Grimm, Justin",Justin Grimm,Justin Grimm,518748,grimmju01,grimj002,11720,31753,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/31753.png
Tyler Holt,"Holt, Tyler",Tyler Holt,Tyler Holt,534627,holtty01,holtt001,11391,31754,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/31754.png
Liam Hendriks,"Hendriks, Liam",Liam Hendriks,Liam Hendriks,521230,hendrli01,hendl001,3548,31755,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/31755.png
Kyle Lobstein,"Lobstein, Kyle",Kyle Lobstein,Kyle Lobstein,543456,lobstky01,lobsk001,9178,31756,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/31756.png
Christian Bethancourt,"Bethancourt, Christian",Christian Bethancourt,Christian Bethancourt,542194,bethach01,bethc001,10028,31758,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/31758.png
Jeff Bianchi,"Bianchi, Jeff",Jeff Bianchi,Jeff Bianchi,488703,biancje01,bianj001,9958,31760,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/31760.png
